alternative_id,check_id,horizon,baseline_estimate,alternative_estimate,estimate_delta,baseline_standard_error,alternative_standard_error,baseline_nobs,alternative_nobs
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,10,-0.9177320970198553,-0.9313094997998932,-0.01357740278003794,0.5288314146495513,0.5595671976060319,78,79
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,11,-1.0268993286290757,-1.0552613244317146,-0.028361995802638873,0.5877216549578701,0.6288217213259234,77,78
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,12,-1.2707114677946487,-1.2963346694135118,-0.025623201618863112,0.6357759137437142,0.6724161130512758,76,77
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,13,-1.5787427864398458,-1.5884368697206777,-0.009694083280831878,0.8127718520565138,0.8233085967844321,75,76
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,14,-1.7528880904816537,-1.7862279341951692,-0.033339843713515505,0.9074788778252456,0.9144963282188828,74,75
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,15,-1.9211579401840044,-1.969998127966035,-0.048840187782030586,0.941722407804948,0.9498395399611768,73,74
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,16,-1.9506905899743934,-2.0122439037915045,-0.061553313817111155,0.9374466533394901,0.9935609711858504,72,73
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,17,-2.019083762751703,-2.101344792693725,-0.08226102994202211,0.9307194048356139,0.9972791438982609,71,72
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,0,0.03926033726243894,0.02370413002947344,-0.015556207232965497,0.056984108791936015,0.06648981818730947,88,87
ra-alt-d520ffb46adc8874ef66966e28441c52,ra-check-4381c1fabc0180978aec15efc6c64e44,1,0.08884441550919353,0.05716908150672939,-0.03167533400246414,0.1173044350317145,0.15283767268029405,87,86
